q,side,rank,ticker,net_M,buy_M,sell_M
2026Q2,매수,1,INTC,638,1201,563
2026Q2,매수,2,DRAM,536,704,168
2026Q2,매수,3,SOXS,513,1129,616
2026Q2,매수,4,QQQM,477,558,80
2026Q2,매수,5,MU,462,1541,1079
2026Q2,매수,6,MRVL,364,489,125
2026Q2,매수,7,SOXX,299,613,314
2026Q2,매수,8,QQQ,270,445,175
2026Q2,매수,9,SPACE,267,277,10
2026Q2,매수,10,NBIS,262,396,134
2026Q2,매도,1,SOXL,-2757,5781,8537
2026Q2,매도,2,TQQQ,-975,581,1555
2026Q2,매도,3,NVDA,-876,969,1845
2026Q2,매도,4,TSLA,-858,1124,1982
2026Q2,매도,5,PLTR,-623,485,1107
2026Q2,매도,6,IONQ,-411,392,803
2026Q2,매도,7,KORU,-408,510,918
2026Q2,매도,8,TSLL,-158,689,847
2026Q2,매도,9,AMZN,-67,290,357
2026Q2,매도,10,RKLB,-64,579,643
